"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","upregulated","downregulated"
"gene:ENSG00000135114",387.367052317011,11.4723247321058,0.861523246799567,13.3163263727634,1.86038881676981e-40,7.15009435245197e-38,972,363
"gene:ENSG00000134321",314.886650692813,11.173489847334,0.858555947065807,13.0142827447885,1.01490763261567e-38,3.74460320129877e-36,972,363
"gene:ENSG00000138646",217.060595951092,10.1554275839306,0.814494417796581,12.4683820564463,1.11058082883827e-35,3.30451534361426e-33,972,363
"gene:ENSG00000198074",138.207812133034,9.98558776642431,0.768119047043759,13.0000522768646,1.222596856751e-38,4.42244447320439e-36,972,363
"gene:ENSG00000111335",168.86219481702,9.79328717837885,0.888681039089373,11.020024899388,3.05974429400174e-28,5.94170134060464e-26,972,363
"gene:ENSG00000137959",171.867579372648,9.33753295807953,0.670542761005575,13.9253355655895,4.44449166421716e-44,2.04979955553695e-41,972,363
"gene:ENSG00000169245",83.7062056840651,9.26207659186446,0.93619139000027,9.89335801503343,4.44850325278191e-23,6.07896207461635e-21,972,363
"gene:ENSG00000271503",83.0713737121551,9.25103801648571,1.07176828379815,8.63156538249271,6.05179529123978e-18,5.16868145985146e-16,972,363
"gene:ENSG00000126709",651.655545385007,9.19956655688744,0.599779544337159,15.3382466003476,4.24507024829713e-53,3.72919314002788e-50,972,363
"gene:ENSG00000134326",67.9011247472664,8.96064841013085,0.775257623372795,11.5582848075032,6.70343445147606e-31,1.60603842546533e-28,972,363
"gene:ENSG00000078018",64.2150007754913,8.87979372389292,1.01139518762533,8.77974686110766,1.63842997801042e-18,1.5265533451685e-16,972,363
"gene:ENSG00000162654",62.1171823352386,8.83166449312061,1.35540724178596,6.51587524461176,7.22670205108561e-11,2.32667014726749e-09,972,363
"gene:ENSG00000233975",57.8698758160353,8.72964056056576,1.03018298405933,8.47387376383131,2.37364648606398e-17,1.9461791277737e-15,972,363
"gene:ENSG00000133106",53.631774354671,8.62052711764222,0.690086943318606,12.4919435168363,8.2610604652382e-36,2.54000072437857e-33,972,363
"gene:ENSG00000137965",51.9537885230193,8.5751281867237,0.676850299523096,12.6691650912553,8.76422321857784e-37,2.83653315677761e-34,972,363
